用户ID, 补偿锻魂铁
2020363704, 57760
1931873719, 57760
897945791, 53496
1699603952, 52524
191390351, 52180
346333596, 47860
1840951947, 44840
1732013179, 43860
1318083359, 39920
1006084432, 39228
834166930, 39020
891277712, 36760
1996655648, 36440
2091211151, 30680
1915921944, 26060
1779057459, 22400
881479440, 21920
1484115547, 19120
1296664190, 18360
946074957, 18020
748065890, 17480
454920882, 17000
564418097, 16200
167706129, 16200
1261081970, 15640
2028526586, 14580
207736188, 13280
1496964265, 13280
775402848, 12540
109012304, 11980
245165705, 11980
2051179867, 11580
325089170, 10360
1879205879, 10360
700145371, 9520
274791815, 9820
387796072, 9820
297004786, 9260
1067207118, 8700
1423946121, 8700
2007770672, 8400
131827644, 8120
1539976632, 8120
1633980224, 8120
1876099833, 8120
401852988, 8060
206314218, 7560
1367044334, 7560
193359618, 7380
119895248, 6980
269928001, 6980
618075321, 6980
1282500428, 6980
2002684324, 6980
495148045, 6400
1655784214, 6400
1870353422, 6400
1964036015, 6400
2123455409, 6400
1451919725, 5280
916796984, 4700
1039992199, 4700
1445552941, 4700
1757491293, 4700
1882627292, 4700
866787093, 4100
272984296, 4100
335861629, 4140
873234404, 4140
943097607, 4140
1217462873, 4140
2099051752, 4140
43403298, 3560
427490200, 3560
906922086, 3560
1094909353, 3560
1157287233, 3560
1361621003, 3560
334267249, 3000
1450505971, 3000
2095015368, 3000
1472611886, 2980
1558991381, 2520
52140186, 2420
255787037, 2420
258517379, 2420
416333665, 2420
600188821, 2420
877957650, 2420
1210530881, 2420
1332431322, 2420
1803685670, 2420
1993012413, 2420
2007100563, 2420
848730628, 1880
676035608, 1880
224346719, 1880
392461447, 1880
403859421, 1880
496429438, 1880
650074077, 1880
653727306, 1880
715665336, 1880
868709718, 1880
904918738, 1880
910571537, 1880
919095641, 1880
1064772654, 1880
1198164965, 1880
1239137981, 1880
1446171235, 1880
1457215985, 1880
1457669922, 1880
1466399795, 1880
1665738335, 1880
1740450395, 1880
1751253646, 1880
110484933, 1340
331752427, 1340
503487263, 1340
556448763, 1340
583705977, 1340
825188598, 1340
854049702, 1340
860246613, 1340
875534184, 1340
1048863227, 1340
1184016209, 1340
1247689958, 1340
1283663886, 1340
1287973309, 1340
1306067981, 1340
1327558451, 1340
1534198407, 1340
1581296706, 1340
1611471373, 1340
2111340486, 1340
1755818496, 1080
212576708, 800
333707816, 800
354983203, 800
520541145, 800
629712865, 800
743991968, 800
872755351, 800
1008515761, 800
1081837956, 800
1478354298, 800
1589125468, 800
1612927248, 800
1676072742, 800
1744120810, 800
1797641984, 800
1818166524, 800
221406954, 540
171258081, 540
545293927, 540
2010377452, 540
1715339605, 360
143512556, 360
154955192, 360
161549444, 360
184682554, 360
192815818, 360
294037728, 360
359852280, 360
645199302, 360
659073503, 360
726979543, 360
736510107, 360
765993298, 360
797295374, 360
812878144, 360
838949832, 360
865799524, 360
870901184, 360
873037689, 360
873756536, 360
951270429, 360
967162897, 360
967191872, 360
1034787989, 360
1135651403, 360
1250341860, 360
1297574786, 360
1327014002, 360
1367700010, 360
1373321665, 360
1392693663, 360
1478621824, 360
1526547665, 360
1614323741, 360
1686036671, 360
1860990699, 360
1913014619, 360
1925659912, 360
2119629164, 360
18907874, 100
